Nucleus Area,Nucleus Perimeter,Nucleus Roundness,Cell Area,Label
86022,12415,142.5850683459011,62950,cyl
46677,8932,136.01431832118496,49953,cyl
31518,8569,185.39233332255048,110352,cyl
22052,6900,171.80679395531328,57711,cyl
53619,10110,151.69586302246512,131452,cyl
14603,5029,137.81970691300327,43239,cyl
53729,10070,150.18975868468925,131443,cyl
19036,6415,172.03141489755916,40931,cyl
31483,8561,185.25204919986945,110380,cyl
31756,8696,189.4974651257314,110147,cyl
14690,5090,140.3472491871727,43094,cyl
17490,4340,85.69979548604071,36846,cyl
17496,4342,85.74938307423272,36761,cyl
8487,3001,84.44383036647534,29732,cyl
17503,4367,86.70497693304675,36763,cyl
46758,8939,135.99160013764347,49906,cyl
8559,3007,84.06862916398698,30230,cyl
8502,3007,84.63225088385846,29729,cyl
4979,2147,73.67363507440135,20934,cyl
5829,1980,53.52127628216388,182856,cyl
5044,2158,73.47133628082923,20925,cyl
18448,3859,64.23776217167925,49272,cyl
33054,4985,59.8268915365129,29098,cyl
18523,3865,64.1767626671956,49203,cyl
8573,3012,84.2106941584906,30176,cyl
4974,1666,44.40525303863778,72484,cyl
29523,7915,168.86182856993128,102063,cyl
37808,9822,203.0515416975152,107351,cyl
18453,7223,224.98749688399678,121063,cyl
22208,6944,172.78264242661118,120624,cyl
18906,7395,230.17960427369528,120879,cyl
14155,4626,120.30717226964384,55141,cyl
18412,7176,222.56354482941876,121118,cyl
22168,6934,172.59622706193767,120679,cyl
30558,5396,75.82441903097697,102858,cyl
46123,8895,136.51000836076827,50511,cyl
22938,5969,123.60548566523582,67696,cyl
22174,6935,172.5992974412332,120685,cyl
18506,7327,230.85004376654712,121049,cyl
22929,5973,123.81978659557704,67661,cyl
22265,6995,174.88109913227075,120561,cyl
1420,679,25.83695567536286,117315,inter
2488,862,23.765901433837275,60390,inter
4535,1663,48.52855312146747,54049,inter
9869,4474,161.402012851804,30643,cyl
1312,492,14.682043500227346,36008,inter
9953,3455,95.44039659205927,82618,cyl
2651,1131,38.39773597894605,73258,inter
45807,8528,126.34343188570048,71780,cyl
1439,547,16.546418126331798,41938,inter
19072,6466,174.4477203203695,98233,inter
2944,1063,30.543504057507796,32654,inter
2224,1044,38.9992585552626,45815,inter
9389,3298,92.18751313460963,29582,cyl
9377,3307,92.80996519322797,29713,cyl
9383,3298,92.2464628392678,29598,cyl
23189,7484,192.2098647255701,187117,inter
2958,992,26.47374068944944,52396,inter
8118,3278,105.331674274837,41481,cyl
2775,845,20.475785268682987,97756,inter
2771,1410,57.09417942277104,66257,inter
3387,1696,67.58131455397361,46326,inter
4923,1607,41.74380699093256,60009,inter
3177,1019,26.008858335512045,45625,inter
1394,506,14.61599534055829,53413,inter
5433,2146,67.45433516475198,79477,inter
71203,6084,41.36854578615591,198305,inter
5891,2335,73.6503615344771,75449,inter
1291,340,7.125604733316461,87911,inter
1906,1006,42.253549839178746,65091,inter
21371,7657,218.31450213122451,105545,inter
1788,574,14.663795869727437,102072,inter
7040,1961,43.46830084614265,139997,inter
1733,392,7.05608343198875,90147,inter
